algo,variant,store,brand,MAE,RMSE,MAPE,sMAPE,MASE,n,n_nonzero,volume
rf,baseline,Toko_A,Realme,1.5093928441722562,1.8421260871280638,64.32664912479228,55.5300245883377,0.6980941904296685,37,34,113.0
rf,baseline,Toko_A,Samsung,1.9457604666354662,2.275996942967671,93.97320624139589,88.16309988853635,0.9599084968734966,37,29,78.0
rf,baseline,Toko_A,Vivo,1.3061700134623084,1.7727373104982327,42.67488296418389,85.71296858136441,0.743512161509314,37,27,68.0
rf,baseline,Toko_A,Xiaomi,1.8272397488397487,2.4046249745059427,51.621717142565615,61.89962043607638,0.6898762317048031,37,33,129.0
rf,baseline,Toko_B,OPPO,1.3016210945470161,1.6794853487577377,59.66195646101213,64.00349912848571,0.6979707318585449,37,33,87.0
rf,baseline,Toko_B,Realme,1.72530206992707,2.2915855575919304,44.930832195251845,66.67703025049269,0.7172604110932763,37,33,121.0
rf,baseline,Toko_B,Samsung,1.274129694882552,1.5539655584478782,68.15992606974923,66.93674188174782,0.8418356912616861,37,32,75.0
rf,baseline,Toko_B,Vivo,1.1989015050889058,1.4697039058456491,48.59993558088148,87.56036702535891,0.8369689752507455,37,29,64.0
rf,baseline,Toko_B,Xiaomi,1.5520406039156036,2.0403106368664794,48.06336220305977,72.76747415210738,0.6677383993590388,37,31,94.0
rf,baseline,Toko_C,OPPO,1.4246753817697755,1.7298289487486969,37.435099616506044,99.45667052323573,0.7639563641374159,37,23,63.0
rf,baseline,Toko_C,Realme,1.4166216216216216,2.005827489820328,50.41414141414141,67.35828690811823,0.6551874999999999,37,33,91.0
rf,baseline,Toko_C,Samsung,1.2016768919492504,1.4435772207073838,56.84437712317434,81.52646818958428,0.6840314615711117,37,29,67.0
rf,baseline,Toko_C,Vivo,1.201491562341562,1.4815573438218435,39.73437459811144,121.61303686709924,0.7409197967772966,37,19,41.0
rf,baseline,Toko_C,Xiaomi,1.204593023572193,1.4597861782986061,45.431980779379124,83.73261825690477,0.8103625794940207,37,29,68.0
rf,baseline,Toko_D,OPPO,1.0573569819819821,1.350052834024006,37.79089996080737,87.7836136777628,0.7523501602564103,37,27,54.0
rf,baseline,Toko_D,Realme,1.478918329043329,1.7684804438757247,61.25687865760783,86.46220014926746,0.8167160921582564,37,30,76.0
rf,baseline,Toko_D,Samsung,1.0484063706563709,1.1942550044309195,40.045894510582016,112.55681483078861,0.9235960884353743,37,20,33.0
rf,baseline,Toko_D,Vivo,1.3063796361296363,1.8227530433774144,45.19018178681222,116.5254014701367,0.6807893878422049,37,23,58.0
rf,baseline,Toko_D,Xiaomi,1.2842313731890915,1.5705020331331248,52.81805621882831,91.90586222999123,0.6886458088115418,37,27,64.0
rf,gt,Toko_A,OPPO,1.8756821399321402,2.129598192286798,107.5793419448817,78.90079347138523,0.9013018074998596,37,33,92.0
rf,gt,Toko_A,Realme,1.500135135135135,1.799390099375266,63.50255602240896,55.8959439273105,0.6938124999999999,37,34,113.0
rf,gt,Toko_A,Samsung,1.7347496392496393,2.0444999151981884,79.95589598779253,84.56140803013625,0.855809822029822,37,29,78.0
rf,gt,Toko_A,Vivo,1.329710637260637,1.7919497564186389,43.619626925592534,86.51795025831261,0.7569122089022088,37,27,68.0
rf,gt,Toko_A,Xiaomi,1.8337568883818882,2.398958992430766,52.42483163930207,62.03522939686277,0.6923367843890802,37,33,129.0
rf,gt,Toko_B,OPPO,1.2634672155101856,1.651876006812031,55.657951850529265,63.46585126158537,0.6775114054185053,37,33,87.0
rf,gt,Toko_B,Realme,1.6532972972972977,2.194685719050772,44.74861471861472,63.024146310039164,0.6873258426966294,37,33,121.0
rf,gt,Toko_B,Samsung,1.3773990795990798,1.6482117460745636,77.55823472447693,69.5674390531298,0.9100672490208206,37,32,75.0
rf,gt,Toko_B,Vivo,1.1955313706563706,1.4407996818895126,50.52722530103995,87.66449258352601,0.8346162398921833,37,29,64.0
rf,gt,Toko_B,Xiaomi,1.545560391742929,2.046449067480532,46.10194659989661,72.9725115415412,0.6649504010987021,37,31,94.0
rf,gt,Toko_C,OPPO,1.414406899154171,1.7175759533126858,37.76123546083697,101.1454751877509,0.7584500763580336,37,23,63.0
rf,gt,Toko_C,Realme,1.436108108108108,1.9529818642686272,55.56262626262626,67.91214939198159,0.6641999999999999,37,33,91.0
rf,gt,Toko_C,Samsung,1.1928533180143237,1.4497576388125628,55.967314793750376,80.44674968579713,0.6790088117927688,37,29,67.0
rf,gt,Toko_C,Vivo,1.1852020660581797,1.4569450844285279,40.724267876517764,121.79466991787966,0.7308746074025441,37,19,41.0
rf,gt,Toko_C,Xiaomi,1.2157592685092689,1.4780704474047244,45.58996153622879,85.18128158821062,0.8178744169971446,37,29,68.0
rf,gt,Toko_D,OPPO,1.06925990990991,1.3079445265776832,42.06324686458946,89.60861098256817,0.7608195512820514,37,27,54.0
rf,gt,Toko_D,Realme,1.4892589282457707,1.7843702396954815,62.369521053791885,86.99731834425481,0.8224265723148286,37,30,76.0
rf,gt,Toko_D,Samsung,1.0882575718575715,1.24258607336402,42.033255392755365,111.98077834456035,0.9587030990173845,37,20,33.0
rf,gt,Toko_D,Vivo,1.298784158374312,1.815582016758726,45.13827998056552,116.13638438280591,0.6768311811246415,37,23,58.0
rf,gt,Toko_D,Xiaomi,1.291296171171171,1.5829426430296194,51.18135221260219,93.18398617378644,0.6924341787439613,37,27,64.0
lstm,baseline,Toko_A,OPPO,1.805169627473161,2.006844284524773,100.49852380848894,78.58379433039818,0.8674191716429475,37,33,92.0
lstm,baseline,Toko_A,Realme,1.6415830109570477,1.962268810154686,68.14083284690602,57.38302353313905,0.7592321425676345,37,34,113.0
lstm,baseline,Toko_A,Samsung,1.6319455005027153,1.8638254535529382,73.25537578812961,83.73919140027289,0.8050931135813395,37,29,78.0
lstm,baseline,Toko_A,Vivo,1.4834444200670398,1.8729222653292328,57.80780923009128,85.41320256439326,0.8444222083458534,37,27,68.0
lstm,baseline,Toko_A,Xiaomi,2.0589218204085893,2.5689315290729025,60.17390769031219,69.77577654334699,0.7773480342358959,37,33,129.0
lstm,baseline,Toko_B,OPPO,1.965087890625,2.336514432474496,115.11422080739062,74.5272723991319,1.053742781929348,37,33,87.0
lstm,baseline,Toko_B,Realme,1.7383667069512445,2.2152583925729954,56.46380224699238,62.67636696912597,0.7226917770471466,37,33,121.0
lstm,baseline,Toko_B,Samsung,1.9266769692704484,2.200111712880506,108.74350773791473,78.14740564395717,1.272982997553689,37,32,75.0
lstm,baseline,Toko_B,Vivo,1.333935177004015,1.5783010122445693,53.75716460162195,79.9934029829513,0.9312377650782747,37,29,64.0
lstm,baseline,Toko_B,Xiaomi,1.574197666065113,1.9451214243780797,59.14976447286572,71.15955325749078,0.6772710888884789,37,31,94.0
