week_start,brand,gt_index
2024-03-18,OPPO,43.0
2024-03-25,OPPO,42.0
2024-04-01,OPPO,45.0
2024-04-08,OPPO,52.0
2024-04-15,OPPO,51.0
2024-04-22,OPPO,45.0
2024-04-29,OPPO,44.0
2024-05-06,OPPO,46.0
2024-05-13,OPPO,42.0
2024-05-20,OPPO,45.0
2024-05-27,OPPO,44.0
2024-06-03,OPPO,43.0
2024-06-10,OPPO,43.0
2024-06-17,OPPO,46.0
2024-06-24,OPPO,45.0
2024-07-01,OPPO,45.0
2024-07-08,OPPO,46.0
2024-07-15,OPPO,41.0
2024-07-22,OPPO,47.0
2024-07-29,OPPO,48.0
2024-08-05,OPPO,39.0
2024-08-12,OPPO,38.0
2024-08-19,OPPO,36.0
2024-08-26,OPPO,37.0
2024-09-02,OPPO,34.0
2024-09-09,OPPO,40.0
2024-09-16,OPPO,38.0
2024-09-23,OPPO,38.0
2024-09-30,OPPO,38.0
2024-10-07,OPPO,38.0
2024-10-14,OPPO,38.0
2024-10-21,OPPO,36.0
2024-10-28,OPPO,40.0
2024-11-04,OPPO,43.0
2024-11-11,OPPO,46.0
2024-11-18,OPPO,41.0
2024-11-25,OPPO,46.0
2024-12-02,OPPO,41.0
2024-12-09,OPPO,45.0
2024-12-16,OPPO,46.0
2024-12-23,OPPO,48.0
2024-12-30,OPPO,49.0
2025-01-06,OPPO,42.0
2025-01-13,OPPO,41.0
2025-01-20,OPPO,42.0
2025-01-27,OPPO,43.0
2025-02-03,OPPO,39.0
2025-02-10,OPPO,36.0
2025-02-17,OPPO,35.0
2025-02-24,OPPO,37.0
2025-03-03,OPPO,38.0
2025-03-10,OPPO,38.0
2025-03-17,OPPO,41.0
2025-03-24,OPPO,40.0
2025-03-31,OPPO,46.0
2025-04-07,OPPO,45.0
2025-04-14,OPPO,39.0
2025-04-21,OPPO,37.0
2025-04-28,OPPO,39.0
2025-05-05,OPPO,35.0
2025-05-12,OPPO,36.0
2025-05-19,OPPO,36.0
2025-05-26,OPPO,37.0
2025-06-02,OPPO,34.0
2025-06-09,OPPO,34.0
2025-06-16,OPPO,37.0
2025-06-23,OPPO,39.0
2025-06-30,OPPO,38.0
2021-12-27,Samsung,80.82191780821918
2022-01-03,Samsung,85.61643835616438
2022-01-10,Samsung,76.71232876712328
2022-01-17,Samsung,68.4931506849315
2022-01-24,Samsung,72.6027397260274
2022-01-31,Samsung,80.13698630136986
2022-02-07,Samsung,81.5068493150685
2022-02-14,Samsung,76.71232876712328
2022-02-21,Samsung,71.91780821917808
2022-02-28,Samsung,81.5068493150685
2022-03-07,Samsung,73.28767123287672
2022-03-14,Samsung,71.23287671232876
2022-03-21,Samsung,76.71232876712328
2022-03-28,Samsung,80.13698630136986
2022-04-04,Samsung,77.3972602739726
2022-04-11,Samsung,80.82191780821918
2022-04-18,Samsung,81.5068493150685
2022-04-25,Samsung,91.0958904109589
2022-05-02,Samsung,100.0
2022-05-09,Samsung,89.72602739726028
2022-05-16,Samsung,81.5068493150685
2022-05-23,Samsung,77.3972602739726
2022-05-30,Samsung,79.45205479452055
2022-06-06,Samsung,75.34246575342466
2022-06-13,Samsung,78.76712328767124
2022-06-20,Samsung,80.82191780821918
2022-06-27,Samsung,86.3013698630137
2022-07-04,Samsung,83.56164383561644
2022-07-11,Samsung,76.02739726027397
2022-07-18,Samsung,71.23287671232876
2022-07-25,Samsung,65.75342465753424
2022-08-01,Samsung,63.013698630136986
2022-08-08,Samsung,67.12328767123287
2022-08-15,Samsung,68.4931506849315
2022-08-22,Samsung,65.75342465753424
2022-08-29,Samsung,66.43835616438356
2022-09-05,Samsung,67.8082191780822
2022-09-12,Samsung,65.75342465753424
2022-09-19,Samsung,67.8082191780822
2022-09-26,Samsung,63.6986301369863
2022-10-03,Samsung,65.06849315068493
2022-10-10,Samsung,64.38356164383562
2022-10-17,Samsung,59.589041095890416
2022-10-24,Samsung,67.12328767123287
2022-10-31,Samsung,63.6986301369863
2022-11-07,Samsung,63.6986301369863
2022-11-14,Samsung,66.43835616438356
2022-11-21,Samsung,59.589041095890416
2022-11-28,Samsung,60.273972602739725
2022-12-05,Samsung,60.95890410958904
2022-12-12,Samsung,68.4931506849315
2022-12-19,Samsung,76.71232876712328
2022-12-26,Samsung,78.08219178082192
2023-01-02,Samsung,80.13698630136986
2023-01-09,Samsung,69.86301369863014
2023-01-16,Samsung,63.6986301369863
2023-01-23,Samsung,67.8082191780822
2023-01-30,Samsung,71.23287671232876
2023-02-06,Samsung,69.17808219178082
2023-02-13,Samsung,70.54794520547945
2023-02-20,Samsung,69.86301369863014
2023-02-27,Samsung,69.17808219178082
2023-03-06,Samsung,67.8082191780822
2023-03-13,Samsung,68.4931506849315
2023-03-20,Samsung,73.28767123287672
2023-03-27,Samsung,70.54794520547945
2023-04-03,Samsung,68.4931506849315
2023-04-10,Samsung,70.54794520547945
2023-04-17,Samsung,70.54794520547945
2023-04-24,Samsung,89.04109589041096
2023-05-01,Samsung,84.24657534246576
2023-05-08,Samsung,73.28767123287672
2023-05-15,Samsung,69.17808219178082
2023-05-22,Samsung,69.17808219178082
2023-05-29,Samsung,71.23287671232876
2023-06-05,Samsung,65.06849315068493
2023-06-12,Samsung,67.8082191780822
2023-06-19,Samsung,65.06849315068493
2023-06-26,Samsung,70.54794520547945
2023-07-03,Samsung,69.86301369863014
2023-07-10,Samsung,63.013698630136986
2023-07-17,Samsung,59.589041095890416
2023-07-24,Samsung,57.534246575342465
2023-07-31,Samsung,55.47945205479452
2023-08-07,Samsung,55.47945205479452
2023-08-14,Samsung,56.849315068493155
2023-08-21,Samsung,54.109589041095894
2023-08-28,Samsung,56.16438356164384
2023-09-04,Samsung,54.109589041095894
2023-09-11,Samsung,52.054794520547944
2023-09-18,Samsung,55.47945205479452
2023-09-25,Samsung,56.16438356164384
2023-10-02,Samsung,54.109589041095894
2023-10-09,Samsung,60.273972602739725
2023-10-16,Samsung,56.849315068493155
2023-10-23,Samsung,57.534246575342465
2023-10-30,Samsung,56.16438356164384
2023-11-06,Samsung,53.42465753424658
2023-11-13,Samsung,54.109589041095894
2023-11-20,Samsung,54.794520547945204
2023-11-27,Samsung,54.109589041095894
2023-12-04,Samsung,53.42465753424658
2023-12-11,Samsung,64.38356164383562
2023-12-18,Samsung,60.95890410958904
2023-12-25,Samsung,65.75342465753424
2024-01-01,Samsung,63.013698630136986
2024-01-08,Samsung,60.95890410958904
2024-01-15,Samsung,65.06849315068493
2024-01-22,Samsung,59.589041095890416
2024-01-29,Samsung,58.21917808219178
2024-02-05,Samsung,55.47945205479452
2024-02-12,Samsung,49.31506849315068
2024-02-19,Samsung,48.63013698630137
2024-02-26,Samsung,49.31506849315068
2024-03-04,Samsung,50.0
2024-03-11,Samsung,54.794520547945204
2024-03-18,Samsung,51.369863013698634
2024-03-25,Samsung,53.42465753424658
2024-04-01,Samsung,53.42465753424658
2024-04-08,Samsung,60.273972602739725
2024-04-15,Samsung,60.273972602739725
2024-04-22,Samsung,51.369863013698634
2024-04-29,Samsung,51.369863013698634
2024-05-06,Samsung,52.054794520547944
2024-05-13,Samsung,47.94520547945205
2024-05-20,Samsung,52.73972602739726
2024-05-27,Samsung,44.52054794520548
2024-06-03,Samsung,45.89041095890411
2024-06-10,Samsung,48.63013698630137
2024-06-17,Samsung,50.0
2024-06-24,Samsung,52.054794520547944
2024-07-01,Samsung,51.369863013698634
2024-07-08,Samsung,52.73972602739726
2024-07-15,Samsung,49.31506849315068
2024-07-22,Samsung,49.31506849315068
2024-07-29,Samsung,47.94520547945205
2024-08-05,Samsung,45.89041095890411
2024-08-12,Samsung,45.89041095890411
2024-08-19,Samsung,43.15068493150685
2024-08-26,Samsung,43.83561643835616
2024-09-02,Samsung,43.15068493150685
